repo_id,repo_path,stars
45717250,tensorflow/tensorflow,42127
3228505,atom/atom,33650
20580498,kubernetes/kubernetes,19666
21540759,avelino/awesome-go,17382
26516210,letsencrypt/letsencrypt,17232
8681349,cantino/huginn,15413
11180687,spf13/hugo,14118
1028340,ajaxorg/ace,14078
10567197,progrium/dokku,12871
301742,tornadoweb/tornado,12725
11225014,coreos/etcd,11917
13840241,Thibaut/devdocs,11358
10219106,linnovate/mean,9733
13124802,influxdb/influxdb,9561
20537104,cayleygraph/cayley,8908
15045751,docker/compose,8759
27729880,grpc/grpc,8224
16607898,drone/drone,8205
10894716,irungentoo/toxcore,8167
17066884,binux/pyspider,8110
4307108,bitly/nsq,7924
6838921,prometheus/prometheus,7516
35756351,nagadomi/waifu2x,7423
2990192,WhisperSystems/Signal-Android,7122
13807606,junegunn/fzf,6902
19249835,google/WebFundamentals,6846
6934395,facebook/rocksdb,6807
9603889,NodeBB/NodeBB,6756
41673581,relax/relax,6659
31829770,AngularClass/angular2-webpack-starter,6331
48953775,shekhargulati/52-technologies-in-2016,6285
41986369,pingcap/tidb,6235
42586612,cmusatyalab/openface,6042
42408804,EmileVauge/traefik,5865
13753636,jhipster/generator-jhipster,5741
21463898,twostairs/paperwork,5575
10717112,shipyard/shipyard,5572
6731432,koalaman/shellcheck,5439
20773773,bazelbuild/bazel,5439
11195700,Khan/KaTeX,5348
25804514,wandoulabs/codis,5204
47851629,howdyai/botkit,5190
2851691,joemccann/dillinger,5163
5710848,TelescopeJS/Telescope,5097
14329321,phusion/baseimage-docker,5000
20653934,google/cadvisor,4997
26337322,rancher/rancher,4911
2400938,paulasmuth/fnordmetric,4898
9252533,numenta/nupic,4691
53632140,zyedidia/micro,4688
3791384,coursera-dl/coursera-dl,4658
10575878,kevana/ui-for-docker,4587
57222302,openai/gym,4520
1145832,pry/pry,4501
23059575,weaveworks/weave,4496
101248,samuelclay/NewsBlur,4495
1725199,github/linguist,4370
43160685,zulip/zulip,4354
6297520,quantopian/zipline,4236
58157629,tensorflow/magenta,4202
19360616,docker/swarm,4199
11008207,youtube/vitess,4157
29882262,rauchg/slackin,4147
59720190,channelcat/sanic,4130
19748251,claritylab/lucida,4127
65711522,baidu/Paddle,4064
30203935,metabase/metabase,4041
12226786,lovell/sharp,4041
7561862,ideawu/ssdb,4028
27860738,matz/streem,3988
1116542,tatsuhiro-t/aria2,3978
40008106,MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,3965
59652928,akveo/ng2-admin,3965
865250,presidentbeef/brakeman,3937
4869294,radare/radare2,3849
7777332,BBC-News/wraith,3839
24968828,sosedoff/pgweb,3833
13257135,hashicorp/serf,3810
14259343,openalpr/openalpr,3790
17528018,erming/shout,3759
31558937,gravitational/teleport,3709
52595226,xtaci/kcptun,3641
1021040,sj26/mailcatcher,3637
14473933,andersevenrud/OS.js-v2,3636
15452925,sjwhitworth/golearn,3612
15652312,zhukov/webogram,3588
32935745,eclipse/che,3564
